,X,Y,OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,latitude,longitude
20,989442.568,158619.632,21,0.115973569,0.000380251,Quentin-W6th,21,Brooklyn,Latitude not found,Longitude not found
21,985833.472,161380.1201,22,0.126170229,0.000472063,Bensonhurst West,22,Brooklyn,40.6005549,-73.991534
22,939978.1196,160646.8523,23,0.290556029,0.002195566,Bloomfield/Emerson Hill,23,Staten Island,Latitude not found,Longitude not found
23,993782.5748,231481.0489,24,0.046999962,6.07e-05,Bloomingdale,24,Manhattan,41.9575285,-88.0809036
24,988005.4733,189064.6011,25,0.04714582,0.000124168,Boerum Hill,25,Brooklyn,40.68562615,-73.98417065807277
25,987147.7987,168296.9402,26,0.123547807,0.00053404,Borough Park,26,Brooklyn,40.633993,-73.9968059
26,1009318.866,142929.9855,27,0.202508809,0.001340888,Breezy Point/Fort Tilden/Riis Beach,27,Queens,Latitude not found,Longitude not found
27,1037665.211,198318.0765,28,0.097960782,0.000291204,Briarwood/Jamaica Hills,28,Queens,35.8530925,-78.6581562
28,995199.7664,151388.4311,29,0.071408313,0.000201674,Brighton Beach,29,Brooklyn,40.57964365,-73.96111081059607
29,1034204.644,159698.9392,30,0.094509767,0.000145862,Broad Channel,30,Queens,40.6064008,-73.81901879728136
30,1018627.22,252594.2001,31,0.096424567,0.000333976,Bronx Park,31,Bronx,40.8588468,-73.87590377196466
31,1021694.52,254249.6344,32,0.054267216,0.000150879,Bronxdale,32,Bronx,40.826378000000005,-73.86719601789224
32,985545.3081,192934.8845,33,0.053270293,0.000147417,Brooklyn Heights,33,Brooklyn,40.696084850000005,-73.9950278391265
33,993206.1127,195239.324,34,0.065705932,0.000173946,Brooklyn Navy Yard,34,Brooklyn,40.6997716,-73.9753359
34,1008530.375,181132.3401,35,0.085787919,0.000323825,Brownsville,35,Brooklyn,25.9140256,-97.4890856
35,1007385.523,193982.9001,36,0.087050787,0.000247666,Bushwick North,36,Brooklyn,14.2775885,121.0719172
36,1004784.246,192954.1407,37,0.14281004,0.000452063,Bushwick South,37,Brooklyn,40.555386,-74.4156031
37,1057584.3,191973.4128,38,0.083217569,0.000327393,Cambria Heights,38,Queens,40.6945474,-73.7384653
38,1012066.256,172053.1118,39,0.132369621,0.000900283,Canarsie,39,Brooklyn,40.643715,-73.9006921
39,985409.9396,186473.8264,40,0.051850665,0.000108949,Carroll Gardens,40,Brooklyn,40.6784201,-73.9948021
40,997520.5889,232274.1626,41,0.052793109,0.000143093,Central Harlem,41,Manhattan,61.4723983,23.727168
41,1000990.471,238412.2291,42,0.092709227,0.000263897,Central Harlem North,42,Manhattan,40.7992183,-73.9549001
42,993784.3667,224349.9169,43,0.099738618,0.000379663,Central Park,43,Manhattan,40.7827725,-73.9653627406542
43,920436.3369,131469.1414,44,0.235688968,0.001944656,Charleston/Tottenville,44,Staten Island,Latitude not found,Longitude not found
