,X,Y,OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,latitude,longitude
113,984616.4227,204729.466,114,0.031727035,4.70E-05,Greenwich Village South,114,Manhattan,40.7335844,-74.0028172
114,958574.6579,165219.1221,115,0.116169414,0.000373169,Grymes Hill/Clifton,115,Staten Island,40.6187152,-74.0934751
115,998816.0518,240775.0213,116,0.068116484,0.000260415,Hamilton Heights,116,Manhattan,40.8241451,-73.9500618
116,1046434.32,156515.0961,117,0.169885858,0.000904294,Arverne,117,Queens,40.59274029,-73.79766958
117,946177.8953,152667.3989,118,0.243966218,0.001826939,Heartland Village/Todt Hill,118,Staten Island,40.59754607,-74.10235145
118,1004459.334,244129.0644,119,0.083507036,0.000185779,Highbridge,119,Bronx,40.83699361,-73.92722005
119,1003393.913,247507.081,120,0.08326127,9.31E-05,Highbridge Park,120,Manhattan,40.84591775,-73.92984479
120,1039769.76,204332.2327,121,0.096915337,0.000384563,Hillcrest/Pomonok,121,Queens,40.72372325,-73.8085956
121,1050352.622,198427.8778,122,0.066531844,0.000226597,Hollis,122,Queens,40.71118691,-73.76288056
122,993914.2874,157949.1149,123,0.083421139,0.000296445,Homecrest,123,Brooklyn,40.60105365,-73.95651677
123,1025865.93,179609.9773,124,0.12772441,0.000754838,Howard Beach,124,Queens,40.6578815,-73.8362459
124,982261.0755,203550.7913,125,0.049732212,7.64E-05,Hudson Sq,125,Manhattan,40.7268035,-74.0079833
125,1016089.089,235830.3585,126,0.129948726,0.000703274,Hunts Point,126,Bronx,40.81756057,-73.8829483
126,1006287.517,254453.3252,127,0.060018886,0.000163196,Inwood,127,Manhattan,40.87239089,-73.92552915
127,1004872.848,257047.9705,128,0.070209029,0.000207406,Inwood Hill Park,128,Manhattan,40.87227365,-73.92542709
128,1015442.387,215841.865,129,0.093272727,0.000473988,Jackson Heights,129,Queens,40.7556561,-73.8857755
129,1039607.037,195561.1974,130,0.142028321,0.000468323,Jamaica,130,Queens,40.70237388,-73.78994331
130,1047623.987,201824.8689,131,0.116547121,0.000423696,Jamaica Estates,131,Queens,40.71807244,-73.78253055
131,1045786.102,173472.4165,132,0.245478517,0.002038301,JFK Airport,132,Queens,40.6429479,-73.77937337
132,991372.55,172223.4199,133,0.065134863,0.000157189,Kensington,133,Brooklyn,40.63858933,-73.97384096
133,1031383.547,197539.0295,134,0.069587822,0.000202375,Kew Gardens,134,Queens,40.70983961,-73.83161644
134,1033033.879,205069.2965,135,0.121793046,0.000467912,Kew Gardens Hills,135,Queens,40.7161022,-73.8329795
135,1010327.417,254362.6257,136,0.090628715,0.000148525,Kingsbridge Heights,136,Bronx,40.8725702,-73.9026619
136,990590.519,209010.2761,137,0.046107624,0.000116455,Kips Bay,137,Manhattan,40.7395463,-73.9770832
137,1019479.472,221607.4718,138,0.107466934,0.000536797,LaGuardia Airport,138,Queens,40.7757145,-73.87336399
138,1055445.24,186303.0912,139,0.093299788,0.00044667,Laurelton,139,Queens,40.6667703,-73.7515212
139,996835.0322,218174.79,140,0.047584291,0.000114204,Lenox Hill East,140,Manhattan,40.7651768,-73.9615945
140,995409.7018,218659.3837,141,0.041514464,7.67E-05,Lenox Hill West,141,Manhattan,40.76938179,-73.95947412
141,989414.8861,221232.1722,142,0.038175894,7.57E-05,Lincoln Square East,142,Manhattan,40.775707,-73.99142046
142,987581.0756,221911.0505,143,0.054179854,0.000151094,Lincoln Square West,143,Manhattan,40.77105996,-73.98055732
143,984968.8548,201803.7945,144,0.027620167,4.75E-05,Little Italy/NoLiTa,144,Manhattan,40.7210061,-73.9947024
144,998464.7889,211283.6648,145,0.114313845,0.000346642,Long Island City/Hunters Point,145,Queens,40.7415095,-73.9569751
145,1002636.94,214178.8744,146,0.047140522,0.000104639,Long Island City/Queens Plaza,146,Queens,40.750607,-73.9402599
146,1012428.668,237749.6466,147,0.058765495,0.000106418,Longwood,147,Bronx,40.81650819,-73.8962339
147,986822.8784,201304.8683,148,0.039130502,6.97E-05,Lower East Side,148,Manhattan,40.7159357,-73.9868057
148,998557.138,160266.0312,149,0.083680582,0.00027064,Madison,149,Brooklyn,40.74235627,-73.98712933
